New_Route_ID,Route_Name,Action_Taken,Route_Type,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,LPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Social_Flag
FDR-101,PARIMPORA ↔ HAZRATBAL,RETAINED_AS_FEEDER,Urban,MP,35,3,0,0,3,False,,263,False
FDR-038,LALBAZAR ↔ LD,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,224,False
FDR-093,SOURA ↔ GADOORA,RETAINED_AS_FEEDER,Urban,LP,60,2,0,2,0,False,,283,False
FDR-088,SOURA ↔ GANDERBAL,RETAINED_AS_FEEDER,Urban,LP,60,3,0,0,3,False,,480,False
FDR-089,SOURA ↔ GANDERBAL,RETAINED_AS_FEEDER,Urban,LP,60,3,0,0,3,False,,480,False
FDR-030,LALBAZAR ↔ LALCHOWK,RETAINED_AS_FEEDER,Urban,HP,20,5,0,5,0,False,,346,False
FDR-036,JEHANGIR CHOWK ↔ SOURA,RETAINED_AS_FEEDER,Urban,HP,20,6,0,6,0,False,,379,False
TRK-048,SOURA ↔ HAZRATBAL,UPGRADED_TO_TRUNK,Urban,HP,20,4,0,4,0,False,,398,False
FDR-098,TRC ↔ HAZRATBAL,RETAINED_AS_FEEDER,Urban,HP,20,5,0,0,5,False,,865,False
FDR-082,SOURA ↔ RAILWAY STATION,RETAINED_AS_FEEDER,Peri_Urban,MP,35,4,0,4,0,False,,613,False
FDR-076,MALBAGH ↔ LD,RETAINED_AS_FEEDER,Urban,MP,35,4,0,4,0,False,,343,False
FDR-116,JEHANGIR CHOWK ↔ JVC,RETAINED_AS_FEEDER,Urban,HP,20,3,0,0,3,False,,141,True
FDR-117,JEHANGIR CHOWK ↔ JVC,RETAINED_AS_FEEDER,Urban,HP,20,3,0,0,3,False,,141,True
FDR-118,JEHANGIR CHOWK ↔ JVC,RETAINED_AS_FEEDER,Urban,HP,20,3,0,0,3,False,,141,True
FDR-119,JEHANGIR CHOWK ↔ JVC,RETAINED_AS_FEEDER,Urban,HP,20,3,0,0,3,False,,141,True
FDR-120,JEHANGIR CHOWK ↔ BUDGAM,RETAINED_AS_FEEDER,Urban,HP,20,3,0,0,3,False,,141,True
FDR-121,JEHANGIR CHOWK ↔ JVC,RETAINED_AS_FEEDER,Urban,HP,20,3,0,0,3,False,,141,True
FDR-011,JEHANGIR CHOWK ↔ HMT,RETAINED_AS_FEEDER,Urban,MP,35,4,0,0,4,False,,538,False
FDR-083,SOURA ↔ RAILWAY STATION,RETAINED_AS_FEEDER,Peri_Urban,MP,35,4,0,0,4,False,,613,False
FDR-122,JEHANGIR CHOWK ↔ JVC,RETAINED_AS_FEEDER,Urban,HP,20,3,0,3,0,False,,141,True
FDR-111,PARIMPORA ↔ RAWALPORA,RETAINED_AS_FEEDER,Urban,MP,35,3,0,3,0,False,,225,True
FDR-112,PARIMPORA ↔ RAWALPORA,RETAINED_AS_FEEDER,Urban,MP,35,3,0,3,0,False,,225,True
FDR-113,PARIMPORA ↔ RAWALPORA,RETAINED_AS_FEEDER,Urban,MP,35,3,0,0,3,False,,225,True
FDR-039,LALBAZAR ↔ QAMARWARI,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,224,False
SSCL-06,NARBAL ↔ JEHANGIR CHOWK,UPGRADED_TO_TRUNK,Urban,HP,15,4,4,0,0,True,SSCL-06,160,True
FDR-040,LALBAZAR ↔ LD,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,224,False
FDR-001,QAMARWARI ↔ DALGATE,RETAINED_AS_FEEDER,Urban,HP,20,3,0,3,0,False,,122,True
FDR-002,QAMARWARI ↔ DALGATE,RETAINED_AS_FEEDER,Urban,HP,20,3,0,3,0,False,,122,True
FDR-041,LALBAZAR ↔ PARIMPORA,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,224,False
FDR-114,PARIMPORA ↔ RAWALPORA,RETAINED_AS_FEEDER,Urban,MP,35,3,0,3,0,False,,225,True
FDR-102,PARIMPORA ↔ HAZRATBAL,RETAINED_AS_FEEDER,Urban,MP,35,3,0,3,0,False,,263,False
FDR-012,JEHANGIR CHOWK ↔ HMT,RETAINED_AS_FEEDER,Urban,MP,35,4,0,4,0,False,,538,False
FDR-042,LALBAZAR ↔ PARIMPORA,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,224,False
FDR-043,LALBAZAR ↔ PARIMPORA,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,224,False
FDR-044,LALBAZAR ↔ PARIMPORA,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,224,False
FDR-045,LALBAZAR ↔ PARIMPORA,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,224,False
FDR-046,LALBAZAR ↔ PARIMPORA,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,224,False
FDR-103,QAMARWARI ↔ HAZRATBAL,RETAINED_AS_FEEDER,Urban,MP,35,3,0,3,0,False,,263,False
FDR-058,SOURA ↔ JEHANGIR CHOWK,RETAINED_AS_FEEDER,Urban,HP,20,6,0,0,6,False,,392,False
FDR-047,LALBAZAR ↔ PARIMPORA,RETAINED_AS_FEEDER,Urban,HP,20,4,0,0,4,False,,224,False
FDR-154,HMT ↔ JEHANGIR CHOWK,RETAINED_AS_FEEDER,Urban,LP,60,3,0,3,0,False,,424,False
FDR-048,LALBAZAR ↔ PARIMPORA,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,224,False
FDR-136,SAIDAKADAL ↔ BYPASS,RETAINED_AS_FEEDER,Urban,MP,35,3,0,0,3,False,,223,False
FDR-137,SAIDAKADAL ↔ BYPASS,RETAINED_AS_FEEDER,Urban,MP,35,3,0,3,0,False,,223,False
FDR-155,HMT ↔ JEHANGIR CHOWK,RETAINED_AS_FEEDER,Urban,LP,60,3,0,3,0,False,,424,False
FDR-013,JEHANGIR CHOWK ↔ HMT,RETAINED_AS_FEEDER,Urban,MP,35,4,0,4,0,False,,538,False
FDR-014,JEHANGIR CHOWK ↔ HMT,RETAINED_AS_FEEDER,Urban,MP,35,4,0,4,0,False,,538,False
FDR-015,JEHANGIR CHOWK ↔ HMT,RETAINED_AS_FEEDER,Urban,MP,35,4,0,4,0,False,,538,False
FDR-024,JEHANGIR CHOWK ↔ PANZINARA,RETAINED_AS_FEEDER,Peri_Urban,LP,60,3,0,3,0,False,,626,False
FDR-115,PARIMPORA ↔ RAWALPORA,RETAINED_AS_FEEDER,Urban,MP,35,3,0,3,0,False,,225,True
FDR-123,JEHANGIR CHOWK ↔ JVC,RETAINED_AS_FEEDER,Urban,HP,20,3,0,3,0,False,,141,True
FDR-016,JEHANGIR CHOWK ↔ HMT,RETAINED_AS_FEEDER,Urban,MP,35,4,0,4,0,False,,538,False
FDR-124,JEHANGIR CHOWK ↔ BUDGAM,RETAINED_AS_FEEDER,Urban,HP,20,3,0,3,0,False,,141,True
FDR-049,LALBAZAR ↔ PARIMPORA,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,224,False
FDR-059,SOURA ↔ JEHANGIR CHOWK,RETAINED_AS_FEEDER,Urban,HP,20,6,0,6,0,False,,392,False
FDR-060,SOURA ↔ JEHANGIR CHOWK,RETAINED_AS_FEEDER,Urban,HP,20,6,0,6,0,False,,392,False
SSCL-06,NARBAL ↔ JEHANGIR CHOWK,UPGRADED_TO_TRUNK,Urban,HP,15,4,4,0,0,True,SSCL-06,160,True
FDR-003,QAMARWARI ↔ DALGATE,RETAINED_AS_FEEDER,Urban,HP,20,3,0,3,0,False,,122,True
FDR-004,QAMARWARI ↔ DALGATE,RETAINED_AS_FEEDER,Urban,HP,20,3,0,3,0,False,,122,True
FDR-061,SOURA ↔ JEHANGIR CHOWK,RETAINED_AS_FEEDER,Urban,HP,20,6,0,6,0,False,,392,False
FDR-050,LALBAZAR ↔ LD,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,224,False
FDR-051,LALBAZAR ↔ LD,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,224,False
FDR-052,LALBAZAR ↔ LD,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,224,False
FDR-005,JVC ↔ BATWARA,RETAINED_AS_FEEDER,Urban,MP,35,3,0,3,0,False,,200,True
SSCL-06,NARBAL ↔ JEHANGIR CHOWK,UPGRADED_TO_TRUNK,Urban,HP,15,4,4,0,0,True,SSCL-06,160,True
FDR-006,QAMARWARI ↔ DALGATE,RETAINED_AS_FEEDER,Urban,HP,20,3,0,3,0,False,,122,True
TRK-049,HAZRATBAL ↔ BONE JOINT HOSPITAL BARZALLA,UPGRADED_TO_TRUNK,Urban,HP,20,6,3,3,0,False,,546,False
TRK-050,PARIMPORA ↔ JAWAHAIRNAGAR,UPGRADED_TO_TRUNK,Urban,HP,20,4,0,4,0,False,,151,True
FDR-007,QAMARWARI ↔ DALGATE,RETAINED_AS_FEEDER,Urban,HP,20,3,0,0,3,False,,122,True
FDR-008,QAMARWARI ↔ BAGHI MEHTAB,RETAINED_AS_FEEDER,Peri_Urban,MP,35,4,0,4,0,False,,331,True
FDR-053,LALBAZAR ↔ LD,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,224,False
FDR-054,LALBAZAR ↔ LD,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,224,False
FDR-055,LALBAZAR ↔ LD,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,224,False
TRK-046,JEHANGIR CHOWK ↔ BEMINA,UPGRADED_TO_TRUNK,Urban,MP,35,3,0,3,0,False,,405,False
FDR-017,JEHANGIR CHOWK ↔ HMT,RETAINED_AS_FEEDER,Urban,MP,35,4,0,4,0,False,,538,False
FDR-009,QAMARWARI ↔ DALGATE,RETAINED_AS_FEEDER,Urban,HP,20,3,0,3,0,False,,122,True
FDR-031,LALBAZAR ↔ LALCHOWK,RETAINED_AS_FEEDER,Urban,HP,20,5,0,5,0,False,,346,False
FDR-095,CHANAPORA ↔ SOURA,RETAINED_AS_FEEDER,Urban,LP,60,3,0,3,0,False,,760,False
FDR-090,SOURA ↔ GANDERBAL,RETAINED_AS_FEEDER,Urban,LP,60,3,0,3,0,False,,480,False
FDR-125,JEHANGIR CHOWK ↔ BUDGAM,RETAINED_AS_FEEDER,Urban,HP,20,3,0,3,0,False,,141,True
FDR-018,JEHANGIR CHOWK ↔ HMT,RETAINED_AS_FEEDER,Urban,MP,35,4,0,4,0,False,,538,False
FDR-126,JEHANGIR CHOWK ↔ BUDGAM,RETAINED_AS_FEEDER,Urban,HP,20,3,0,3,0,False,,141,True
FDR-062,SOURA ↔ JEHANGIR CHOWK,RETAINED_AS_FEEDER,Urban,HP,20,6,0,6,0,False,,392,False
FDR-110,BATMALOO ↔ DALGATE,RETAINED_AS_FEEDER,Urban,HP,20,3,0,3,0,False,,278,False
FDR-032,LALBAZAR ↔ LALCHOWK,RETAINED_AS_FEEDER,Urban,HP,20,5,0,0,5,False,,346,False
FDR-127,JEHANGIR CHOWK ↔ BUDGAM,RETAINED_AS_FEEDER,Urban,HP,20,3,0,3,0,False,,141,True
FDR-156,HMT ↔ JEHANGIR CHOWK,RETAINED_AS_FEEDER,Urban,LP,60,3,0,3,0,False,,424,False
SSCL-06,NARBAL ↔ JEHANGIR CHOWK,UPGRADED_TO_TRUNK,Urban,HP,15,4,4,0,0,True,SSCL-06,160,True
FDR-128,JEHANGIR CHOWK ↔ JVC,RETAINED_AS_FEEDER,Urban,HP,20,3,0,3,0,False,,141,True
FDR-104,PARIMPORA ↔ HAZRATBAL,RETAINED_AS_FEEDER,Urban,MP,35,3,0,0,3,False,,263,False
FDR-105,PARIMPORA ↔ HAZRATBAL,RETAINED_AS_FEEDER,Urban,MP,35,3,0,3,0,False,,263,False
TRK-047,SOURA ↔ DALGATE,UPGRADED_TO_TRUNK,Urban,HP,20,5,0,5,0,False,,418,False
FDR-063,SOURA ↔ JEHANGIR CHOWK,RETAINED_AS_FEEDER,Urban,HP,20,6,0,0,6,False,,392,False
FDR-019,JEHANGIR CHOWK ↔ HMT,RETAINED_AS_FEEDER,Urban,MP,35,4,0,0,4,False,,538,False
