New_Route_ID,Route_Name,Action_Taken,Route_Type,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,LPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Social_Flag
FDR-054,Soura to LD,RETAINED_AS_FEEDER,Urban,HP,20,6,0,6,0,False,,11217,True
FDR-483,Parimpora to Budgam,RETAINED_AS_FEEDER,Peri_Urban,LP,35,6,0,6,0,False,,10117,False
FDR-266,Parimpora to Hazratbal,RETAINED_AS_FEEDER,Peri_Urban,MP,35,4,0,0,4,False,,10737,False
FDR-423,Parimpora to Chadora,RETAINED_AS_FEEDER,Peri_Urban,LP,35,5,0,5,0,False,,15524,False
FDR-389,Lawaypora to Jehangir Chowk,RETAINED_AS_FEEDER,Urban,MP,35,5,0,5,0,False,,7558,False
FDR-063,Lalbazar to LD,RETAINED_AS_FEEDER,Urban,HP,20,5,0,5,0,False,,11888,True
FDR-002,Soura to Gadoora,RETAINED_AS_FEEDER,Peri_Urban,LP,35,4,0,4,0,False,,21707,False
FDR-476,Soura to Ganderbal,RETAINED_AS_FEEDER,Urban,LP,35,4,0,0,4,False,,10891,False
FDR-076,Lalbazar to Lalchowk,RETAINED_AS_FEEDER,Urban,HP,20,5,0,5,0,False,,6066,True
FDR-117,Jehangir Chowk to Soura,RETAINED_AS_FEEDER,Urban,HP,20,5,0,5,0,False,,6223,True
TRK-031,Soura to Hazratbal,UPGRADED_TO_TRUNK,Urban,MP,35,3,0,3,0,False,,12568,False
FDR-156,TRC to Hazratbal,RETAINED_AS_FEEDER,Urban,MP,35,3,0,0,3,False,,5991,False
FDR-142,Hazratbal to LD,RETAINED_AS_FEEDER,Urban,MP,35,4,0,4,0,False,,10317,True
FDR-257,Soura to Railway Station,RETAINED_AS_FEEDER,Peri_Urban,MP,35,4,0,4,0,False,,10960,False
FDR-096,Malbagh to LD,RETAINED_AS_FEEDER,Urban,HP,20,6,0,6,0,False,,14496,True
FDR-260,Jehangir Chowk to JVC,RETAINED_AS_FEEDER,Urban,MP,35,3,0,0,3,False,,5066,False
FDR-180,Soura to Parimpora,RETAINED_AS_FEEDER,Urban,MP,35,4,0,0,4,False,,9853,False
FDR-462,Jehangir Chowk to Budgam,RETAINED_AS_FEEDER,Regional_District,LP,35,5,0,0,5,False,,12772,False
FDR-101,Parimpora to Saidakadal,RETAINED_AS_FEEDER,Urban,HP,20,7,0,0,7,False,,7414,False
FDR-270,Jehangir Chowk to HMT,RETAINED_AS_FEEDER,Urban,MP,35,4,0,0,4,False,,6235,False
