Route_ID,Route_Name,Action_Taken,New_Route_ID,Displaced_Operator_Class,Route_KM,Route_Type,Congestion_Zone,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,CMP_Trunk,CMP_Route_ID,Overlap_Metric,Population_Served,HV_POI_Count,Sharp_Turns,Junction_Penalty_Min,N_Stops_Estimated,Stop_Penalty_Min,OSRM_Duration_S,Cycle_Time_Min,Geo_Source,Reasoning_String
R0001,SOURA ↔ LD,RETAINED_AS_FEEDER,FDR-052,,12.161,Urban,City_Core,0.9782,0.6197,0.75,0.799,False,HP,20,6,0,6,False,,0.2177,3224,94,9,4.5,24,12.0,797.0,97.3,OSRM,"Route R0001 (SOURA ↔ LD) → Feeder FDR-052. Route_Type=Urban | Zone=City_Core | CDI=0.7990 | Band=HP | Headway=20 min | Fleet=6 (HPV=0 enforced, MPV=6 — 100%% MPV). Distinct catchment: 6.54% of CMP 2024 pop. residents over 12.2 km. "
R0002,PARIMPORA ↔ BUDGAM,RETAINED_AS_FEEDER,FDR-329,,15.179,Peri_Urban,City_Core,0.0,0.0,0.75,0.0,False,LP,35,4,0,4,False,,0.069,1363,0,3,1.5,30,15.0,1439.3,75.9,OSRM,"Route R0002 (PARIMPORA ↔ BUDGAM) → Feeder FDR-329. Route_Type=Peri_Urban | Zone=City_Core | CDI=0.0000 | Band=LP | Headway=35 min | Fleet=4 (HPV=0 enforced, MPV=4 — 100%% MPV). Distinct catchment: 1.19% of CMP 2024 pop. residents over 15.2 km. "
R0003,PARIMPORA ↔ BUDGAM,MERGED_INTO_TRUNK,FDR-329,Private Minibus,15.179,Peri_Urban,City_Core,0.0,0.0,1.25,0.0,False,LP,35,0,0,0,False,,0.069,1363,0,3,1.5,30,15.0,1439.3,75.9,OSRM,Route R0003 (PARIMPORA ↔ BUDGAM) merged into Trunk FDR-329. Spatial overlap with trunk corridor. CDI=0.0000. Fleet=0 (counted under Trunk). 
R0004,PARIMPORA ↔ BUDGAM,MERGED_INTO_TRUNK,FDR-329,Private Minibus,15.179,Peri_Urban,City_Core,0.0,0.0,1.25,0.0,False,LP,35,0,0,0,False,,0.069,1363,0,3,1.5,30,15.0,1439.3,75.9,OSRM,Route R0004 (PARIMPORA ↔ BUDGAM) merged into Trunk FDR-329. Spatial overlap with trunk corridor. CDI=0.0000. Fleet=0 (counted under Trunk). 
R0005,PARIMPORA ↔ BUDGAM,RETAINED_AS_FEEDER,FDR-332,,15.179,Peri_Urban,City_Core,0.0,0.0,0.75,0.0,False,LP,35,4,0,0,False,,0.069,1363,0,3,1.5,30,15.0,1439.3,75.9,OSRM,"Route R0005 (PARIMPORA ↔ BUDGAM) → Feeder FDR-332. Route_Type=Peri_Urban | Zone=City_Core | CDI=0.0000 | Band=LP | Headway=35 min | Fleet=4 (HPV=0 enforced, MPV=0 — 100%% MPV). Distinct catchment: 1.19% of CMP 2024 pop. residents over 15.2 km. "
R0006,PARIMPORA ↔ HAZRATBAL,RETAINED_AS_FEEDER,FDR-194,,20.376,Peri_Urban,City_Core,0.5473,0.1649,0.75,0.3561,False,MP,35,4,0,0,False,,0.129,3685,50,20,10.0,40,20.0,2136.6,101.9,OSRM+JhelumBridge,"Route R0006 (PARIMPORA ↔ HAZRATBAL) → Feeder FDR-194. Route_Type=Peri_Urban | Zone=City_Core | CDI=0.3561 | Band=MP | Headway=35 min | Fleet=4 (HPV=0 enforced, MPV=0 — 100%% MPV). Distinct catchment: 6.83% of CMP 2024 pop. residents over 20.4 km. "
R0007,PARIMPORA ↔ CHADORA,RETAINED_AS_FEEDER,FDR-287,,30.025,Peri_Urban,City_Core,0.422,0.0794,0.75,0.2507,False,MP,35,6,0,6,False,,0.1048,6635,36,5,2.5,60,30.0,2044.9,150.1,OSRM,"Route R0007 (PARIMPORA ↔ CHADORA) → Feeder FDR-287. Route_Type=Peri_Urban | Zone=City_Core | CDI=0.2507 | Band=MP | Headway=35 min | Fleet=6 (HPV=0 enforced, MPV=6 — 100%% MPV). Distinct catchment: 8.30% of CMP 2024 pop. residents over 30.0 km. "
R0008,PARIMPORA ↔ CHADORA,MERGED_INTO_TRUNK,FDR-287,Private Minibus,30.025,Peri_Urban,City_Core,0.422,0.0794,1.25,0.2507,False,MP,35,0,0,0,False,,0.1048,6635,36,5,2.5,60,30.0,2044.9,150.1,OSRM,Route R0008 (PARIMPORA ↔ CHADORA) merged into Trunk FDR-287. Spatial overlap with trunk corridor. CDI=0.2507. Fleet=0 (counted under Trunk). 
R0009,LALBAZAR ↔ LD,RETAINED_AS_FEEDER,FDR-062,,11.37,Urban,City_Core,0.9872,0.596,0.75,0.7916,False,HP,20,6,0,6,False,,0.2162,3255,81,8,4.0,22,11.0,1186.9,91.0,OSRM+JhelumBridge,"Route R0009 (LALBAZAR ↔ LD) → Feeder FDR-062. Route_Type=Urban | Zone=City_Core | CDI=0.7916 | Band=HP | Headway=20 min | Fleet=6 (HPV=0 enforced, MPV=6 — 100%% MPV). Distinct catchment: 6.16% of CMP 2024 pop. residents over 11.4 km. "
R0010,SOURA ↔ GANDERBAL,RETAINED_AS_FEEDER,FDR-295,,9.86,Urban,City_Core,0.2787,0.1404,0.75,0.2096,False,LP,35,4,0,0,False,,0.028,4175,20,6,3.0,19,9.5,959.3,78.9,OSRM,"Route R0010 (SOURA ↔ GANDERBAL) → Feeder FDR-295. Route_Type=Urban | Zone=City_Core | CDI=0.2096 | Band=LP | Headway=35 min | Fleet=4 (HPV=0 enforced, MPV=0 — 100%% MPV). Distinct catchment: 2.06% of CMP 2024 pop. residents over 9.9 km. "
