Route_Code,Route_ID,Route_Name,Action_Taken,New_Route_ID,Displaced_Operator_Class,Route_KM,Route_Type,OSRM_Duration_S,Cycle_Time_Min,Congestion_Zone,N_Stops_Estimated,Stop_Penalty_Min,Sharp_Turns,Junction_Penalty_Min,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,LPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Population_Served_Raw,Corridor_Competitors,HV_POI_Count,Overlap_Metric,Geo_Source,Tourist_Corridor,Seasonal_Operability,District_HQ_Floor,SSCL_CDI_Conflict,SSCL_CDI_Conflict_Strong,SSCL_CDI_Conflict_Weak_SSCL,Daily_Trips,Daily_KM,Daily_Capacity_Pax,Daily_Demand_Pax,Load_Ratio,Load_Flag,Pax_Journey_Time_Min,Journey_Time_Flag,Daily_Revenue_INR,Daily_Op_Cost_INR,Viability_Ratio,Subsidy_Risk_Flag,Emissions_GCO2_Daily,Equity_Score,Map_File
SRSR10105860-01,R0001,Soura to LD,RETAINED_AS_FEEDER,FDR-070,,10.099,Urban,682.4,80.8,City_Core,20,10.0,8,4.0,0.9721,0.5242,0.75,0.7482,True,HP,20,6,0,6,0,False,,9071,95384,256,75,0.1554,OSRM,False,Year_Round,False,True,True,False,96.0,969.5,2495.0,156.0,0.062,Amber_Under,55.9,True,1556.0,63018.0,0.025,False,921029.0,0.177,route_maps_kashmir/FDR-070.html
BGBG02022104-01,R0002,Parimpora to Budgam,RETAINED_AS_FEEDER,FDR-320,,22.663,Peri_Urban,1638.0,113.3,City_Core,45,22.5,7,3.5,0.1151,0.0125,0.75,0.0638,False,LP,35,5,0,5,0,False,,8455,57658,166,9,0.1071,OSRM,False,Year_Round,False,False,False,False,54.9,1243.2,1483.0,96.0,0.065,Amber_Under,79.6,True,962.0,80810.0,0.012,True,1181066.0,0.11,route_maps_kashmir/FDR-320.html
BGBG02022104-02,R0003,Parimpora to Budgam,MERGED_INTO_TRUNK,FDR-320,Private Minibus,22.663,Peri_Urban,1638.0,113.3,City_Core,45,22.5,7,3.5,0.1151,0.0125,1.25,0.0638,False,LP,35,0,0,0,0,False,,0,57658,166,9,0.1071,OSRM,False,Year_Round,False,False,False,False,54.9,1243.2,0.0,96.0,0.0,Red_NoCapacity,79.6,True,962.0,80810.0,0.012,True,1181066.0,0.11,route_maps_kashmir/FDR-320.html
BGBG02022104-03,R0004,Parimpora to Budgam,MERGED_INTO_TRUNK,FDR-320,Private Minibus,22.663,Peri_Urban,1638.0,113.3,City_Core,45,22.5,7,3.5,0.1151,0.0125,1.25,0.0638,False,LP,35,0,0,0,0,False,,0,57658,166,9,0.1071,OSRM,False,Year_Round,False,False,False,False,54.9,1243.2,0.0,96.0,0.0,Red_NoCapacity,79.6,True,962.0,80810.0,0.012,True,1181066.0,0.11,route_maps_kashmir/FDR-320.html
BGBG02022104-04,R0005,Parimpora to Budgam,RETAINED_AS_FEEDER,FDR-323,,22.663,Peri_Urban,1638.0,113.3,City_Core,45,22.5,7,3.5,0.1151,0.0125,0.75,0.0638,False,LP,35,5,0,0,5,False,,8455,57658,166,9,0.1071,OSRM,False,Year_Round,False,False,False,False,54.9,1243.2,847.0,96.0,0.114,Amber_Under,79.6,True,962.0,80810.0,0.012,True,1181066.0,0.11,route_maps_kashmir/FDR-323.html
BGSR02102118-01,R0006,Parimpora to Hazratbal,UPGRADED_TO_TRUNK,TRK-043,,16.104,Peri_Urban,1713.6,80.5,City_Core,32,16.0,22,11.0,0.6766,0.2053,1.25,0.441,False,MP,35,4,2,2,0,False,,9618,113789,288,53,0.1026,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,883.4,2266.0,114.0,0.05,Amber_Under,63.2,True,1143.0,57422.0,0.02,True,839248.0,0.125,route_maps_kashmir/TRK-043.html
BGBG02022106-01,R0007,Parimpora to Chadora,RETAINED_AS_FEEDER,FDR-041,,25.752,Peri_Urban,1621.9,128.8,City_Core,51,25.5,7,3.5,0.4641,0.0824,0.75,0.2732,False,LP,35,5,0,5,0,False,,16373,137879,205,39,0.0855,OSRM,False,Year_Round,False,False,False,False,54.9,1412.7,1304.0,233.0,0.179,Amber_Under,87.4,True,2334.0,91824.0,0.025,True,1342047.0,0.213,route_maps_kashmir/FDR-041.html
BGBG02022106-02,R0008,Parimpora to Chadora,MERGED_INTO_TRUNK,FDR-041,Private Minibus,25.752,Peri_Urban,1621.9,128.8,City_Core,51,25.5,7,3.5,0.4641,0.0824,1.25,0.2732,False,LP,35,0,0,0,0,False,,0,137879,205,39,0.0855,OSRM,False,Year_Round,False,False,False,False,54.9,1412.7,0.0,233.0,0.0,Red_NoCapacity,87.4,True,2334.0,91824.0,0.025,True,1342047.0,0.213,route_maps_kashmir/FDR-041.html
SRSR10103460-01,R0009,Lalbazar to LD,RETAINED_AS_FEEDER,FDR-078,,9.308,Urban,1072.3,74.5,City_Core,18,9.0,7,3.5,1.0,0.4872,0.75,0.7436,True,HP,20,5,0,5,0,False,,9365,90006,234,62,0.1482,OSRM+JhelumBridge,False,Year_Round,False,True,True,False,96.0,893.6,2255.0,168.0,0.075,Amber_Under,52.8,True,1684.0,58082.0,0.029,False,848890.0,0.183,route_maps_kashmir/FDR-078.html
SRGB10055804-01,R0010,Soura to Ganderbal,RETAINED_AS_FEEDER,FDR-186,,9.86,Urban,959.3,78.9,City_Core,19,9.5,6,3.0,0.2305,0.1234,0.75,0.177,False,LP,35,4,0,0,4,False,,10688,34248,78,20,0.028,OSRM,False,Year_Round,False,False,False,False,54.9,540.9,973.0,582.0,0.597,Green,62.4,True,5816.0,35158.0,0.165,True,513847.0,0.139,route_maps_kashmir/FDR-186.html
