Route_ID,Route_Name,Action_Taken,New_Route_ID,Route_KM,Route_Type,Congestion_Zone,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,CMP_Trunk,CMP_Route_ID,Overlap_Metric,Population_Served,HV_POI_Count,Sharp_Turns,Junction_Penalty_Min,N_Stops_Estimated,Stop_Penalty_Min,OSRM_Duration_S,Cycle_Time_Min,Geo_Source,Reasoning_String
R0001,AIRPORT RANIBAGH LALYAL ↔ JEWEL AKHNOOR ROAD,RETAINED_AS_FEEDER,FDR-351,53.184,Regional_District,City_Core,0.2702,0.0197,0.75,0.1087,True,MP,90,7,0,7,False,,0.042,666,6,5,2.5,106,159.0,3540.6,614.9,OSRM,"Route R0001 (AIRPORT RANIBAGH LALYAL ↔ JEWEL AKHNOOR ROAD) → Feeder FDR-351. Route_Type=Regional_District | Zone=City_Core | CDI=0.1087 | Band=MP | Headway=90 min | Fleet=7 (HPV=0 enforced, MPV=7 — 100%% MPV). Distinct catchment: 9.31% of CMP 2024 pop. residents over 53.2 km. 🚩 Social Obligation"
R0002,AMBHALLA ↔ MISHRIWALA,RETAINED_AS_FEEDER,FDR-130,17.405,Peri_Urban,City_Core,0.7291,0.1203,0.75,0.3185,True,MP,30,7,0,7,False,,0.1416,292,11,8,4.0,34,51.0,964.6,191.7,OSRM,"Route R0002 (AMBHALLA ↔ MISHRIWALA) → Feeder FDR-130. Route_Type=Peri_Urban | Zone=City_Core | CDI=0.3185 | Band=MP | Headway=30 min | Fleet=7 (HPV=0 enforced, MPV=7 — 100%% MPV). Distinct catchment: 7.22% of CMP 2024 pop. residents over 17.4 km. 🚩 Social Obligation"
R0004,AMBPHALA ↔ BADORI SMAILPUR,RETAINED_AS_FEEDER,FDR-155,27.89,Peri_Urban,City_Core,0.687,0.0976,0.75,0.2942,True,MP,30,11,0,11,False,,0.1434,429,16,9,4.5,55,82.5,1854.0,327.4,OSRM,"Route R0004 (AMBPHALA ↔ BADORI SMAILPUR) → Feeder FDR-155. Route_Type=Peri_Urban | Zone=City_Core | CDI=0.2942 | Band=MP | Headway=30 min | Fleet=11 (HPV=0 enforced, MPV=11 — 100%% MPV). Distinct catchment: 10.96% of CMP 2024 pop. residents over 27.9 km. 🚩 Social Obligation"
R0005,AMBPHALA ↔ BADORI SMAILPUR,MERGED_INTO_TRUNK,TRK-028,1.021,Urban,City_Core,1.0,1.0,1.25,1.25,False,HP,15,0,0,0,False,,0.4088,40,7,4,2.0,2,3.0,111.7,19.2,OSRM,Route R0005 (AMBPHALA ↔ BADORI SMAILPUR) merged into Trunk TRK-028. Spatial overlap with trunk corridor. CDI=1.2500. Fleet=0 (counted under Trunk). 
R0007,AMBPHALLA ↔ MUTHI CAMP PHASE II,RETAINED_AS_FEEDER,FDR-017,8.644,Urban,City_Core,1.0,0.2423,0.75,0.4659,True,MP,30,4,0,4,False,,0.2017,201,11,5,2.5,17,25.5,506.0,98.7,OSRM,"Route R0007 (AMBPHALLA ↔ MUTHI CAMP PHASE II) → Feeder FDR-017. Route_Type=Urban | Zone=City_Core | CDI=0.4659 | Band=MP | Headway=30 min | Fleet=4 (HPV=0 enforced, MPV=4 — 100%% MPV). Distinct catchment: 4.88% of CMP 2024 pop. residents over 8.6 km. 🚩 Social Obligation"
R0008,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-148,10.086,Urban,City_Core,0.6732,0.1272,0.75,0.3002,True,MP,30,5,0,5,False,,0.0688,292,8,9,4.5,20,30.0,995.3,148.9,OSRM,"Route R0008 (AMBPHALLA ↔ BATHINDI) → Feeder FDR-148. Route_Type=Urban | Zone=City_Core | CDI=0.3002 | Band=MP | Headway=30 min | Fleet=5 (HPV=0 enforced, MPV=5 — 100%% MPV). Distinct catchment: 3.89% of CMP 2024 pop. residents over 10.1 km. 🚩 Social Obligation"
R0009,AMBPHALLA ↔ BIRPUR,RETAINED_AS_FEEDER,FDR-151,16.656,Peri_Urban,City_Core,0.6452,0.1509,0.75,0.2985,True,MP,30,7,0,7,False,,0.0804,260,16,6,3.0,33,49.5,1208.7,204.1,OSRM,"Route R0009 (AMBPHALLA ↔ BIRPUR) → Feeder FDR-151. Route_Type=Peri_Urban | Zone=City_Core | CDI=0.2985 | Band=MP | Headway=30 min | Fleet=7 (HPV=0 enforced, MPV=7 — 100%% MPV). Distinct catchment: 6.18% of CMP 2024 pop. residents over 16.7 km. 🚩 Social Obligation"
R0010,AMBPHALLA ↔ RAYA SUCHAINI,RETAINED_AS_FEEDER,FDR-133,24.982,Peri_Urban,City_Core,0.7117,0.1373,0.75,0.3184,True,MP,30,10,0,10,False,,0.1334,414,19,2,1.0,49,73.5,1488.7,273.1,OSRM,"Route R0010 (AMBPHALLA ↔ RAYA SUCHAINI) → Feeder FDR-133. Route_Type=Peri_Urban | Zone=City_Core | CDI=0.3184 | Band=MP | Headway=30 min | Fleet=10 (HPV=0 enforced, MPV=10 — 100%% MPV). Distinct catchment: 10.14% of CMP 2024 pop. residents over 25.0 km. 🚩 Social Obligation"
R0011,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-033,7.63,Urban,City_Core,0.8886,0.2745,0.75,0.4362,True,MP,30,4,0,4,False,,0.1543,160,13,5,2.5,15,22.5,540.4,94.6,OSRM,"Route R0011 (AMBPHALLA ↔ BATHINDI) → Feeder FDR-033. Route_Type=Urban | Zone=City_Core | CDI=0.4362 | Band=MP | Headway=30 min | Fleet=4 (HPV=0 enforced, MPV=4 — 100%% MPV). Distinct catchment: 3.80% of CMP 2024 pop. residents over 7.6 km. 🚩 Social Obligation"
R0013,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-112,8.21,Urban,City_Core,0.7434,0.1562,0.75,0.3374,True,MP,30,4,0,4,False,,0.0819,259,8,12,6.0,16,24.0,724.9,119.2,OSRM,"Route R0013 (AMBPHALLA ↔ BATHINDI) → Feeder FDR-112. Route_Type=Urban | Zone=City_Core | CDI=0.3374 | Band=MP | Headway=30 min | Fleet=4 (HPV=0 enforced, MPV=4 — 100%% MPV). Distinct catchment: 3.47% of CMP 2024 pop. residents over 8.2 km. 🚩 Social Obligation"
R0014,AMBPHALLA ↔ BADHAI KARWAL,RETAINED_AS_FEEDER,FDR-326,18.673,Peri_Urban,City_Core,0.3213,0.0855,0.75,0.1526,True,MP,30,8,0,8,False,,0.1208,153,9,2,1.0,37,55.5,1440.3,229.9,OSRM,"Route R0014 (AMBPHALLA ↔ BADHAI KARWAL) → Feeder FDR-326. Route_Type=Peri_Urban | Zone=City_Core | CDI=0.1526 | Band=MP | Headway=30 min | Fleet=8 (HPV=0 enforced, MPV=8 — 100%% MPV). Distinct catchment: 3.77% of CMP 2024 pop. residents over 18.7 km. 🚩 Social Obligation"
R0015,AMBPHALLA ↔ PATTI,RETAINED_AS_FEEDER,FDR-295,29.331,Peri_Urban,City_Core,0.3991,0.0982,0.75,0.1865,True,MP,30,11,0,11,False,,0.0922,293,17,4,2.0,58,87.0,1483.0,304.6,OSRM,"Route R0015 (AMBPHALLA ↔ PATTI) → Feeder FDR-295. Route_Type=Peri_Urban | Zone=City_Core | CDI=0.1865 | Band=MP | Headway=30 min | Fleet=11 (HPV=0 enforced, MPV=11 — 100%% MPV). Distinct catchment: 7.11% of CMP 2024 pop. residents over 29.3 km. 🚩 Social Obligation"
R0017,AMPHALA ↔ TRIKUTA NAGAR G  KALISH,UPGRADED_TO_TRUNK,TRK-028,6.583,Urban,City_Core,1.0,0.4096,1.25,0.881,True,HP,15,6,6,0,False,,0.2299,166,13,7,3.5,13,19.5,454.6,83.9,OSRM,Route R0017 (AMPHALA ↔ TRIKUTA NAGAR G  KALISH) → Trunk TRK-028. Route_Type=Urban | Zone=City_Core | CDI=0.8810 | Band=HP | Headway=15 min | Fleet=6 (HPV=6 MPV=0). Serves ~3.82% of CMP 2024 pop. residents over 6.6 km. 🚩 Social Obligation
R0018,AMPHALA ↔ GANGYAL SANIK COLONY,MERGED_INTO_TRUNK,TRK-028,1.021,Urban,City_Core,1.0,1.0,1.25,1.25,False,HP,15,0,0,0,False,,0.4088,40,7,4,2.0,2,3.0,111.7,19.2,OSRM,Route R0018 (AMPHALA ↔ GANGYAL SANIK COLONY) merged into Trunk TRK-028. Spatial overlap with trunk corridor. CDI=1.2500. Fleet=0 (counted under Trunk). 
R0019,AMPHALLA ↔ BADHORI,RETAINED_AS_FEEDER,FDR-239,37.142,Peri_Urban,City_Core,0.531,0.0909,0.75,0.2332,True,MP,30,14,0,14,False,,0.0902,472,18,3,1.5,74,111.0,2189.3,408.0,OSRM,"Route R0019 (AMPHALLA ↔ BADHORI) → Feeder FDR-239. Route_Type=Peri_Urban | Zone=City_Core | CDI=0.2332 | Band=MP | Headway=30 min | Fleet=14 (HPV=0 enforced, MPV=14 — 100%% MPV). Distinct catchment: 11.57% of CMP 2024 pop. residents over 37.1 km. 🚩 Social Obligation"
R0022,AMPHALLA ↔ KHIYARIAN CAMP,RETAINED_AS_FEEDER,FDR-084,9.65,Urban,City_Core,0.8466,0.1573,0.75,0.3765,False,MP,30,5,0,5,False,,0.1085,197,9,3,1.5,19,28.5,788.5,123.8,OSRM,"Route R0022 (AMPHALLA ↔ KHIYARIAN CAMP) → Feeder FDR-084. Route_Type=Urban | Zone=City_Core | CDI=0.3765 | Band=MP | Headway=30 min | Fleet=5 (HPV=0 enforced, MPV=5 — 100%% MPV). Distinct catchment: 4.60% of CMP 2024 pop. residents over 9.7 km. "
R0023,AMPHALLA ↔ SARORE,RETAINED_AS_FEEDER,FDR-097,20.409,Peri_Urban,City_Core,0.7962,0.1629,0.75,0.3597,True,MP,30,9,0,9,False,,0.1554,375,18,6,3.0,40,60.0,1402.0,241.4,OSRM,"Route R0023 (AMPHALLA ↔ SARORE) → Feeder FDR-097. Route_Type=Peri_Urban | Zone=City_Core | CDI=0.3597 | Band=MP | Headway=30 min | Fleet=9 (HPV=0 enforced, MPV=9 — 100%% MPV). Distinct catchment: 9.18% of CMP 2024 pop. residents over 20.4 km. 🚩 Social Obligation"
R0024,AMPHALLA ↔ MANDIA MANKA KHOUR,RETAINED_AS_FEEDER,FDR-305,23.074,Peri_Urban,City_Core,0.3971,0.0806,0.75,0.1791,True,MP,30,10,0,10,False,,0.1207,218,11,10,5.0,46,69.0,1826.6,296.8,OSRM,"Route R0024 (AMPHALLA ↔ MANDIA MANKA KHOUR) → Feeder FDR-305. Route_Type=Peri_Urban | Zone=City_Core | CDI=0.1791 | Band=MP | Headway=30 min | Fleet=10 (HPV=0 enforced, MPV=10 — 100%% MPV). Distinct catchment: 5.57% of CMP 2024 pop. residents over 23.1 km. 🚩 Social Obligation"
