Route_ID,Route_Name,Action_Taken,New_Route_ID,Route_KM,Route_Type,OSRM_Duration_S,Cycle_Time_Min,Congestion_Zone,N_Stops_Estimated,Stop_Penalty_Min,Sharp_Turns,Junction_Penalty_Min,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,HV_POI_Count,Overlap_Metric,Geo_Source,Map_File
R0001,AIRPORT RANIBAGH LALYAL ↔ JEWEL AKHNOOR ROAD,RETAINED_AS_FEEDER,FDR-351,53.184,Regional_District,3540.6,614.9,City_Core,106,159.0,5,2.5,0.2702,0.0197,0.75,0.1087,True,MP,90,7,0,7,False,,666,6,0.042,OSRM,route_maps/FDR-351.html
R0002,AMBHALLA ↔ MISHRIWALA,RETAINED_AS_FEEDER,FDR-130,17.405,Peri_Urban,964.6,191.7,City_Core,34,51.0,8,4.0,0.7291,0.1203,0.75,0.3185,True,MP,30,7,0,7,False,,292,11,0.1416,OSRM,route_maps/FDR-130.html
R0004,AMBPHALA ↔ BADORI SMAILPUR,RETAINED_AS_FEEDER,FDR-155,27.89,Peri_Urban,1854.0,327.4,City_Core,55,82.5,9,4.5,0.687,0.0976,0.75,0.2942,True,MP,30,11,0,11,False,,429,16,0.1434,OSRM,route_maps/FDR-155.html
R0005,AMBPHALA ↔ BADORI SMAILPUR,MERGED_INTO_TRUNK,TRK-028,1.021,Urban,111.7,19.2,City_Core,2,3.0,4,2.0,1.0,1.0,1.25,1.25,False,HP,15,0,0,0,False,,40,7,0.4088,OSRM,route_maps/TRK-028.html
R0007,AMBPHALLA ↔ MUTHI CAMP PHASE II,RETAINED_AS_FEEDER,FDR-017,8.644,Urban,506.0,98.7,City_Core,17,25.5,5,2.5,1.0,0.2423,0.75,0.4659,True,MP,30,4,0,4,False,,201,11,0.2017,OSRM,route_maps/FDR-017.html
R0008,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-148,10.086,Urban,995.3,148.9,City_Core,20,30.0,9,4.5,0.6732,0.1272,0.75,0.3002,True,MP,30,5,0,5,False,,292,8,0.0688,OSRM,route_maps/FDR-148.html
R0009,AMBPHALLA ↔ BIRPUR,RETAINED_AS_FEEDER,FDR-151,16.656,Peri_Urban,1208.7,204.1,City_Core,33,49.5,6,3.0,0.6452,0.1509,0.75,0.2985,True,MP,30,7,0,7,False,,260,16,0.0804,OSRM,route_maps/FDR-151.html
R0010,AMBPHALLA ↔ RAYA SUCHAINI,RETAINED_AS_FEEDER,FDR-133,24.982,Peri_Urban,1488.7,273.1,City_Core,49,73.5,2,1.0,0.7117,0.1373,0.75,0.3184,True,MP,30,10,0,10,False,,414,19,0.1334,OSRM,route_maps/FDR-133.html
R0011,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-033,7.63,Urban,540.4,94.6,City_Core,15,22.5,5,2.5,0.8886,0.2745,0.75,0.4362,True,MP,30,4,0,4,False,,160,13,0.1543,OSRM,route_maps/FDR-033.html
R0013,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-112,8.21,Urban,724.9,119.2,City_Core,16,24.0,12,6.0,0.7434,0.1562,0.75,0.3374,True,MP,30,4,0,4,False,,259,8,0.0819,OSRM,route_maps/FDR-112.html
